Bus Voltage,Power,Current
4.92 V,318.00 mW,72.30 mA
4.92 V,354.00 mW,72.30 mA
4.92 V,358.00 mW,72.20 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,354.00 mW,72.20 mA
4.89 V,432.00 mW,87.30 mA
4.92 V,318.00 mW,72.60 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,358.00 mW,73.10 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,360.00 mW,73.10 mA
4.89 V,432.00 mW,89.70 mA
4.92 V,318.00 mW,72.90 mA
4.92 V,360.00 mW,73.10 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,360.00 mW,73.20 mA
4.92 V,358.00 mW,72.50 mA
4.90 V,432.00 mW,87.30 mA
4.92 V,318.00 mW,72.50 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,354.00 mW,72.90 mA
4.92 V,354.00 mW,72.30 mA
4.92 V,360.00 mW,72.80 mA
4.89 V,430.00 mW,88.40 mA
4.92 V,318.00 mW,72.90 mA
4.92 V,360.00 mW,72.90 mA
4.92 V,360.00 mW,72.70 mA
4.92 V,358.00 mW,73.00 mA
4.92 V,354.00 mW,72.50 mA
4.81 V,648.00 mW,136.20 mA
4.92 V,322.00 mW,72.90 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,72.60 mA
4.89 V,430.00 mW,87.60 mA
4.92 V,314.00 mW,72.60 mA
4.92 V,360.00 mW,72.90 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,73.10 mA
4.92 V,358.00 mW,72.40 mA
4.89 V,436.00 mW,87.60 mA
4.92 V,318.00 mW,72.70 mA
4.92 V,358.00 mW,72.30 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.80 mA
4.89 V,432.00 mW,89.50 mA
4.92 V,314.00 mW,72.10 mA
4.92 V,358.00 mW,73.00 mA
4.92 V,360.00 mW,73.10 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,354.00 mW,72.30 mA
4.89 V,432.00 mW,87.40 mA
4.92 V,324.00 mW,72.60 mA
4.92 V,358.00 mW,72.30 mA
4.92 V,354.00 mW,72.40 mA
4.92 V,360.00 mW,72.60 mA
4.92 V,358.00 mW,73.00 mA
4.89 V,426.00 mW,88.00 mA
4.92 V,324.00 mW,72.50 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,360.00 mW,73.10 mA
4.92 V,358.00 mW,72.50 mA
4.92 V,358.00 mW,72.10 mA
4.89 V,416.00 mW,87.70 mA
4.92 V,318.00 mW,72.90 mA
4.92 V,358.00 mW,72.20 mA
4.92 V,358.00 mW,72.50 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,358.00 mW,73.20 mA
4.89 V,432.00 mW,89.10 mA
4.93 V,314.00 mW,72.10 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,360.00 mW,72.90 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,358.00 mW,72.20 mA
4.89 V,436.00 mW,87.70 mA
4.92 V,322.00 mW,73.10 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,354.00 mW,72.30 mA
4.92 V,360.00 mW,72.70 mA
4.92 V,358.00 mW,72.90 mA
4.89 V,432.00 mW,89.10 mA
4.92 V,318.00 mW,72.10 mA
4.92 V,354.00 mW,72.90 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,354.00 mW,72.30 mA
4.92 V,358.00 mW,72.30 mA
4.89 V,426.00 mW,87.80 mA
4.92 V,318.00 mW,72.70 mA
4.92 V,360.00 mW,73.10 mA
4.92 V,358.00 mW,72.20 mA
4.92 V,358.00 mW,73.10 mA
4.92 V,358.00 mW,72.70 mA
4.90 V,430.00 mW,87.40 mA
4.92 V,322.00 mW,72.40 mA
4.92 V,358.00 mW,72.50 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,360.00 mW,72.50 mA
4.89 V,426.00 mW,90.00 mA
4.92 V,318.00 mW,72.70 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,360.00 mW,72.90 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,358.00 mW,72.60 mA
4.89 V,420.00 mW,87.30 mA
4.92 V,318.00 mW,72.70 mA
4.92 V,354.00 mW,72.20 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.30 mA
4.92 V,360.00 mW,72.80 mA
4.89 V,432.00 mW,87.30 mA
4.92 V,318.00 mW,72.10 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,360.00 mW,73.10 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,354.00 mW,72.00 mA
4.89 V,436.00 mW,89.30 mA
4.92 V,322.00 mW,72.80 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,358.00 mW,72.90 mA
4.90 V,422.00 mW,87.10 mA
4.92 V,318.00 mW,71.80 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,73.10 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.60 mA
4.89 V,430.00 mW,87.70 mA
4.92 V,318.00 mW,72.80 mA
4.92 V,360.00 mW,72.70 mA
4.92 V,358.00 mW,72.20 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,354.00 mW,72.60 mA
4.89 V,416.00 mW,87.30 mA
4.92 V,322.00 mW,72.50 mA
4.92 V,354.00 mW,72.60 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,358.00 mW,72.30 mA
4.92 V,358.00 mW,72.60 mA
4.89 V,426.00 mW,87.60 mA
4.93 V,318.00 mW,72.60 mA
4.92 V,358.00 mW,73.20 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,354.00 mW,72.50 mA
4.89 V,436.00 mW,89.20 mA
4.92 V,318.00 mW,72.40 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,354.00 mW,72.20 mA
4.92 V,358.00 mW,72.70 mA
4.89 V,432.00 mW,88.60 mA
4.92 V,318.00 mW,72.40 mA
4.92 V,360.00 mW,72.90 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,354.00 mW,72.40 mA
4.81 V,652.00 mW,136.20 mA
4.92 V,322.00 mW,72.30 mA
4.92 V,354.00 mW,71.90 mA
4.92 V,354.00 mW,72.50 mA
4.92 V,358.00 mW,71.80 mA
4.92 V,358.00 mW,72.80 mA
4.89 V,422.00 mW,87.50 mA
4.92 V,318.00 mW,72.40 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,72.70 mA
4.91 V,358.00 mW,72.80 mA
4.92 V,354.00 mW,72.30 mA
4.89 V,420.00 mW,87.30 mA
4.93 V,318.00 mW,72.50 mA
4.92 V,354.00 mW,71.90 mA
4.92 V,354.00 mW,72.20 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,358.00 mW,72.70 mA
4.89 V,422.00 mW,87.30 mA
4.92 V,314.00 mW,72.70 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.90 mA
4.92 V,354.00 mW,72.30 mA
4.89 V,432.00 mW,87.20 mA
4.92 V,322.00 mW,72.50 mA
4.92 V,358.00 mW,72.20 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,358.00 mW,72.10 mA
4.92 V,360.00 mW,72.80 mA
4.89 V,432.00 mW,88.00 mA
4.92 V,318.00 mW,72.30 mA
4.92 V,358.00 mW,72.70 mA
4.92 V,358.00 mW,72.60 mA
4.92 V,358.00 mW,73.00 mA
4.92 V,354.00 mW,72.00 mA
4.89 V,432.00 mW,89.20 mA
4.92 V,322.00 mW,72.20 mA
4.92 V,354.00 mW,72.00 mA
4.92 V,354.00 mW,72.60 mA
4.92 V,358.00 mW,72.40 mA
4.92 V,358.00 mW,72.80 mA
4.81 V,646.00 mW,135.00 mA
4.92 V,318.00 mW,72.40 mA
4.92 V,358.00 mW,72.50 mA
4.92 V,358.00 mW,72.20 mA
4.92 V,358.00 mW,73.00 mA
4.92 V,354.00 mW,72.30 mA
4.89 V,436.00 mW,87.00 mA
4.92 V,318.00 mW,72.10 mA
4.92 V,354.00 mW,72.40 mA
4.92 V,358.00 mW,72.80 mA
4.92 V,354.00 mW,72.40 mA
4.92 V,358.00 mW,72.30 mA
