Bus Voltage,Power,Current
4.58 V,180.00 mW,51.80 mA
4.57 V,240.00 mW,52.10 mA
4.57 V,240.00 mW,52.60 mA
4.56 V,242.00 mW,53.00 mA
4.56 V,240.00 mW,53.10 mA
4.56 V,242.00 mW,52.50 mA
4.56 V,242.00 mW,53.10 mA
4.56 V,242.00 mW,53.40 mA
4.56 V,242.00 mW,53.00 mA
4.56 V,242.00 mW,53.20 mA
4.56 V,242.00 mW,53.40 mA
4.57 V,240.00 mW,53.00 mA
4.56 V,242.00 mW,53.10 mA
4.56 V,246.00 mW,53.90 mA
4.56 V,242.00 mW,53.50 mA
4.56 V,246.00 mW,53.10 mA
4.56 V,246.00 mW,53.80 mA
4.56 V,242.00 mW,53.40 mA
4.56 V,242.00 mW,53.40 mA
4.56 V,246.00 mW,54.00 mA
4.56 V,246.00 mW,54.00 mA
4.56 V,242.00 mW,53.30 mA
4.56 V,246.00 mW,53.80 mA
4.56 V,242.00 mW,53.80 mA
4.56 V,242.00 mW,53.50 mA
4.56 V,246.00 mW,53.70 mA
4.56 V,242.00 mW,53.80 mA
4.56 V,242.00 mW,53.10 mA
4.56 V,242.00 mW,53.30 mA
4.56 V,242.00 mW,53.90 mA
4.57 V,242.00 mW,53.00 mA
4.56 V,242.00 mW,52.90 mA
4.56 V,242.00 mW,53.50 mA
4.56 V,242.00 mW,53.20 mA
4.56 V,242.00 mW,52.70 mA
4.56 V,242.00 mW,53.50 mA
4.56 V,240.00 mW,53.10 mA
4.57 V,240.00 mW,52.40 mA
4.56 V,246.00 mW,53.20 mA
4.56 V,242.00 mW,53.30 mA
4.57 V,240.00 mW,52.50 mA
4.56 V,242.00 mW,53.10 mA
4.56 V,242.00 mW,53.50 mA
4.57 V,240.00 mW,52.30 mA
4.56 V,242.00 mW,52.40 mA
4.56 V,242.00 mW,53.30 mA
4.57 V,240.00 mW,52.30 mA
4.57 V,242.00 mW,52.50 mA
4.56 V,242.00 mW,53.20 mA
4.57 V,240.00 mW,52.80 mA
4.57 V,240.00 mW,52.30 mA
4.56 V,242.00 mW,53.10 mA
4.57 V,240.00 mW,52.90 mA
4.58 V,240.00 mW,52.10 mA
4.56 V,242.00 mW,52.80 mA
4.56 V,242.00 mW,52.90 mA
4.57 V,240.00 mW,52.20 mA
4.57 V,242.00 mW,52.60 mA
4.57 V,242.00 mW,53.30 mA
4.57 V,240.00 mW,52.00 mA
4.57 V,242.00 mW,52.50 mA
4.56 V,242.00 mW,53.30 mA
4.57 V,240.00 mW,52.60 mA
4.57 V,242.00 mW,52.30 mA
4.57 V,242.00 mW,53.30 mA
4.57 V,240.00 mW,52.30 mA
4.57 V,240.00 mW,52.60 mA
4.57 V,242.00 mW,53.00 mA
4.57 V,240.00 mW,53.00 mA
4.57 V,240.00 mW,51.90 mA
4.56 V,242.00 mW,52.70 mA
4.56 V,240.00 mW,53.10 mA
4.57 V,240.00 mW,52.20 mA
4.57 V,242.00 mW,52.60 mA
4.57 V,242.00 mW,53.30 mA
4.58 V,240.00 mW,52.50 mA
4.57 V,242.00 mW,52.50 mA
4.56 V,242.00 mW,53.10 mA
4.57 V,240.00 mW,52.60 mA
4.57 V,240.00 mW,52.20 mA
4.56 V,242.00 mW,53.30 mA
4.57 V,240.00 mW,52.60 mA
4.58 V,240.00 mW,52.20 mA
4.56 V,242.00 mW,53.10 mA
4.57 V,240.00 mW,52.80 mA
4.58 V,240.00 mW,52.30 mA
4.56 V,242.00 mW,52.60 mA
4.57 V,242.00 mW,53.30 mA
