Bus Voltage,Power,Current
4.52 V,184.00 mW,49.50 mA
4.32 V,258.00 mW,61.10 mA
4.40 V,268.00 mW,50.40 mA
4.45 V,216.00 mW,48.30 mA
4.49 V,186.00 mW,46.70 mA
4.30 V,256.00 mW,62.10 mA
4.32 V,268.00 mW,49.60 mA
4.46 V,216.00 mW,48.20 mA
4.49 V,180.00 mW,46.50 mA
4.32 V,256.00 mW,62.50 mA
4.38 V,268.00 mW,49.40 mA
4.46 V,212.00 mW,48.30 mA
4.50 V,180.00 mW,63.40 mA
4.32 V,250.00 mW,61.50 mA
4.43 V,268.00 mW,49.70 mA
4.46 V,216.00 mW,48.80 mA
4.48 V,184.00 mW,47.40 mA
4.32 V,258.00 mW,60.90 mA
4.38 V,272.00 mW,48.70 mA
4.46 V,220.00 mW,48.50 mA
4.51 V,184.00 mW,58.70 mA
4.31 V,246.00 mW,61.50 mA
4.42 V,268.00 mW,49.90 mA
4.46 V,212.00 mW,48.00 mA
4.50 V,180.00 mW,46.20 mA
4.31 V,256.00 mW,62.50 mA
4.34 V,276.00 mW,49.80 mA
4.46 V,212.00 mW,48.80 mA
4.52 V,180.00 mW,53.70 mA
4.32 V,246.00 mW,61.70 mA
4.41 V,268.00 mW,50.30 mA
4.46 V,216.00 mW,48.80 mA
4.49 V,184.00 mW,47.20 mA
4.32 V,256.00 mW,60.50 mA
4.34 V,268.00 mW,48.30 mA
4.46 V,216.00 mW,48.50 mA
4.53 V,180.00 mW,48.30 mA
4.32 V,258.00 mW,62.00 mA
4.40 V,268.00 mW,50.90 mA
4.46 V,216.00 mW,48.20 mA
4.51 V,180.00 mW,65.30 mA
4.32 V,252.00 mW,61.40 mA
4.42 V,272.00 mW,50.00 mA
4.46 V,216.00 mW,48.50 mA
4.48 V,180.00 mW,47.20 mA
4.32 V,256.00 mW,61.20 mA
4.42 V,258.00 mW,48.40 mA
4.46 V,220.00 mW,48.60 mA
4.50 V,186.00 mW,49.60 mA
4.31 V,246.00 mW,61.80 mA
4.44 V,268.00 mW,49.10 mA
4.46 V,216.00 mW,48.30 mA
4.50 V,184.00 mW,46.40 mA
4.32 V,252.00 mW,62.10 mA
4.39 V,268.00 mW,49.60 mA
