Bus Voltage,Power,Current
4.95 V,386.00 mW,63.90 mA
4.94 V,308.00 mW,62.50 mA
4.95 V,308.00 mW,65.60 mA
4.95 V,308.00 mW,62.20 mA
4.93 V,344.00 mW,69.60 mA
4.93 V,344.00 mW,67.70 mA
4.91 V,328.00 mW,83.00 mA
4.81 V,698.00 mW,145.00 mA
4.81 V,702.00 mW,144.50 mA
4.81 V,698.00 mW,142.90 mA
4.94 V,308.00 mW,63.30 mA
4.94 V,328.00 mW,68.90 mA
4.93 V,338.00 mW,68.80 mA
4.94 V,344.00 mW,71.20 mA
4.82 V,702.00 mW,146.20 mA
4.81 V,702.00 mW,146.00 mA
4.82 V,704.00 mW,146.00 mA
4.94 V,314.00 mW,62.60 mA
4.95 V,312.00 mW,68.10 mA
4.94 V,340.00 mW,66.70 mA
4.93 V,328.00 mW,68.00 mA
4.81 V,698.00 mW,144.70 mA
4.81 V,702.00 mW,144.70 mA
4.81 V,698.00 mW,145.00 mA
4.94 V,308.00 mW,63.70 mA
4.94 V,308.00 mW,63.20 mA
4.94 V,330.00 mW,68.60 mA
4.94 V,330.00 mW,66.70 mA
4.86 V,412.00 mW,125.70 mA
4.82 V,702.00 mW,145.40 mA
4.82 V,698.00 mW,145.10 mA
4.84 V,704.00 mW,65.70 mA
4.94 V,312.00 mW,62.60 mA
4.93 V,344.00 mW,69.70 mA
4.94 V,344.00 mW,66.70 mA
4.94 V,344.00 mW,69.50 mA
4.81 V,698.00 mW,144.90 mA
4.81 V,694.00 mW,144.90 mA
4.82 V,698.00 mW,144.60 mA
4.95 V,322.00 mW,63.20 mA
4.94 V,314.00 mW,67.20 mA
4.94 V,344.00 mW,69.60 mA
4.94 V,348.00 mW,67.80 mA
4.81 V,702.00 mW,145.30 mA
4.82 V,698.00 mW,145.40 mA
4.81 V,702.00 mW,145.90 mA
4.94 V,312.00 mW,62.40 mA
4.94 V,312.00 mW,62.80 mA
4.94 V,328.00 mW,67.90 mA
4.93 V,334.00 mW,66.50 mA
4.81 V,698.00 mW,144.60 mA
4.82 V,694.00 mW,144.80 mA
4.81 V,694.00 mW,144.60 mA
4.94 V,312.00 mW,62.70 mA
4.94 V,312.00 mW,63.00 mA
4.93 V,344.00 mW,69.70 mA
4.94 V,344.00 mW,70.20 mA
4.91 V,412.00 mW,84.00 mA
4.82 V,698.00 mW,145.60 mA
4.82 V,698.00 mW,145.50 mA
4.81 V,702.00 mW,145.00 mA
4.94 V,312.00 mW,62.90 mA
4.94 V,312.00 mW,66.00 mA
4.93 V,344.00 mW,70.00 mA
4.94 V,344.00 mW,69.80 mA
4.81 V,694.00 mW,144.40 mA
4.82 V,694.00 mW,144.30 mA
4.81 V,698.00 mW,144.90 mA
4.94 V,312.00 mW,63.10 mA
4.94 V,312.00 mW,62.70 mA
4.94 V,344.00 mW,66.70 mA
4.93 V,330.00 mW,67.80 mA
4.83 V,606.00 mW,143.90 mA
4.81 V,702.00 mW,145.20 mA
4.81 V,698.00 mW,145.20 mA
4.86 V,584.00 mW,63.50 mA
4.94 V,312.00 mW,62.30 mA
4.93 V,334.00 mW,69.00 mA
4.94 V,358.00 mW,67.00 mA
4.93 V,330.00 mW,66.80 mA
4.82 V,694.00 mW,144.70 mA
4.82 V,702.00 mW,145.10 mA
4.81 V,698.00 mW,145.60 mA
4.94 V,308.00 mW,62.50 mA
4.94 V,308.00 mW,62.70 mA
4.94 V,348.00 mW,70.20 mA
4.94 V,328.00 mW,67.60 mA
4.82 V,698.00 mW,145.40 mA
4.81 V,698.00 mW,145.20 mA
4.81 V,698.00 mW,145.10 mA
4.94 V,312.00 mW,62.40 mA
4.94 V,308.00 mW,62.40 mA
4.93 V,344.00 mW,69.50 mA
4.93 V,340.00 mW,69.70 mA
4.91 V,410.00 mW,83.50 mA
4.81 V,698.00 mW,144.50 mA
4.81 V,694.00 mW,145.00 mA
4.81 V,694.00 mW,145.10 mA
4.95 V,312.00 mW,63.10 mA
4.93 V,312.00 mW,70.20 mA
4.94 V,344.00 mW,68.90 mA
4.94 V,348.00 mW,69.70 mA
4.81 V,702.00 mW,145.70 mA
4.81 V,702.00 mW,145.50 mA
4.81 V,698.00 mW,144.80 mA
4.95 V,314.00 mW,62.30 mA
4.95 V,312.00 mW,64.60 mA
4.94 V,338.00 mW,70.20 mA
4.94 V,344.00 mW,66.20 mA
4.82 V,580.00 mW,144.40 mA
4.81 V,698.00 mW,145.20 mA
4.82 V,694.00 mW,146.10 mA
4.94 V,544.00 mW,63.00 mA
4.94 V,312.00 mW,63.50 mA
4.94 V,340.00 mW,69.90 mA
4.94 V,344.00 mW,68.00 mA
4.93 V,344.00 mW,66.90 mA
4.82 V,698.00 mW,145.50 mA
4.81 V,698.00 mW,144.90 mA
4.81 V,702.00 mW,144.60 mA
4.95 V,312.00 mW,62.60 mA
4.94 V,308.00 mW,62.80 mA
4.94 V,340.00 mW,69.20 mA
4.94 V,328.00 mW,68.50 mA
4.82 V,694.00 mW,144.50 mA
4.81 V,694.00 mW,144.40 mA
4.82 V,698.00 mW,145.40 mA
4.94 V,312.00 mW,63.00 mA
4.95 V,312.00 mW,62.70 mA
4.94 V,344.00 mW,67.90 mA
4.94 V,348.00 mW,69.70 mA
4.92 V,416.00 mW,84.80 mA
4.82 V,702.00 mW,145.10 mA
4.81 V,698.00 mW,144.60 mA
4.81 V,694.00 mW,145.00 mA
4.94 V,308.00 mW,62.40 mA
4.93 V,338.00 mW,69.90 mA
4.94 V,340.00 mW,66.60 mA
4.93 V,344.00 mW,69.20 mA
4.82 V,694.00 mW,144.80 mA
4.81 V,698.00 mW,144.10 mA
4.81 V,704.00 mW,145.50 mA
4.94 V,308.00 mW,62.60 mA
4.94 V,312.00 mW,62.60 mA
4.93 V,330.00 mW,69.10 mA
4.94 V,338.00 mW,67.90 mA
4.82 V,612.00 mW,145.30 mA
4.81 V,702.00 mW,144.60 mA
4.81 V,694.00 mW,144.70 mA
4.94 V,308.00 mW,63.10 mA
4.95 V,308.00 mW,64.00 mA
4.94 V,344.00 mW,69.50 mA
4.93 V,328.00 mW,70.00 mA
4.94 V,344.00 mW,67.90 mA
4.82 V,694.00 mW,144.40 mA
4.82 V,698.00 mW,145.10 mA
4.81 V,702.00 mW,145.30 mA
4.95 V,312.00 mW,63.10 mA
4.95 V,312.00 mW,63.00 mA
4.93 V,344.00 mW,69.80 mA
4.94 V,344.00 mW,69.60 mA
4.82 V,702.00 mW,145.30 mA
4.81 V,698.00 mW,145.20 mA
4.82 V,694.00 mW,144.50 mA
4.94 V,308.00 mW,62.20 mA
4.94 V,312.00 mW,62.40 mA
4.94 V,330.00 mW,66.30 mA
4.94 V,350.00 mW,67.90 mA
4.91 V,410.00 mW,83.50 mA
4.81 V,698.00 mW,144.90 mA
4.81 V,694.00 mW,145.30 mA
4.82 V,702.00 mW,145.30 mA
4.94 V,314.00 mW,63.20 mA
4.93 V,328.00 mW,67.70 mA
4.94 V,330.00 mW,66.80 mA
4.94 V,344.00 mW,67.40 mA
4.81 V,702.00 mW,145.60 mA
4.81 V,698.00 mW,144.30 mA
4.81 V,694.00 mW,144.70 mA
4.94 V,312.00 mW,62.50 mA
4.94 V,312.00 mW,62.70 mA
4.93 V,330.00 mW,67.00 mA
4.93 V,328.00 mW,68.90 mA
4.81 V,646.00 mW,145.60 mA
4.81 V,698.00 mW,145.30 mA
4.82 V,698.00 mW,145.20 mA
4.94 V,314.00 mW,63.10 mA
4.95 V,312.00 mW,63.00 mA
4.94 V,348.00 mW,70.40 mA
4.94 V,344.00 mW,70.20 mA
4.94 V,344.00 mW,70.40 mA
4.82 V,698.00 mW,145.00 mA
4.81 V,698.00 mW,144.30 mA
4.81 V,698.00 mW,144.40 mA
4.94 V,308.00 mW,62.90 mA
4.95 V,308.00 mW,62.40 mA
4.93 V,348.00 mW,69.50 mA
4.94 V,344.00 mW,70.20 mA
4.82 V,694.00 mW,144.90 mA
4.82 V,702.00 mW,145.50 mA
4.82 V,702.00 mW,145.30 mA
4.95 V,314.00 mW,62.90 mA
4.94 V,312.00 mW,62.60 mA
4.93 V,344.00 mW,68.10 mA
4.94 V,338.00 mW,67.50 mA
4.91 V,410.00 mW,83.30 mA
4.82 V,698.00 mW,144.50 mA
4.81 V,694.00 mW,144.80 mA
4.81 V,694.00 mW,146.80 mA
4.95 V,312.00 mW,62.90 mA
4.94 V,328.00 mW,66.60 mA
4.94 V,330.00 mW,69.10 mA
