Bus Voltage,Power,Current
4.58 V,204.00 mW,70.70 mA
4.58 V,328.00 mW,70.70 mA
4.26 V,514.00 mW,140.30 mA
4.19 V,586.00 mW,139.70 mA
4.20 V,590.00 mW,140.00 mA
4.20 V,590.00 mW,140.00 mA
4.20 V,586.00 mW,140.60 mA
4.20 V,586.00 mW,140.00 mA
4.20 V,590.00 mW,140.40 mA
4.19 V,586.00 mW,140.70 mA
4.19 V,590.00 mW,140.80 mA
4.20 V,586.00 mW,140.30 mA
4.20 V,590.00 mW,139.70 mA
4.19 V,586.00 mW,139.80 mA
4.20 V,590.00 mW,139.80 mA
4.19 V,586.00 mW,140.20 mA
4.20 V,590.00 mW,140.00 mA
4.19 V,590.00 mW,140.40 mA
4.20 V,590.00 mW,140.30 mA
4.20 V,586.00 mW,140.00 mA
4.20 V,590.00 mW,140.20 mA
4.20 V,590.00 mW,140.30 mA
4.19 V,590.00 mW,140.20 mA
4.19 V,590.00 mW,140.60 mA
4.20 V,590.00 mW,140.00 mA
4.19 V,590.00 mW,141.00 mA
4.19 V,590.00 mW,140.40 mA
4.19 V,590.00 mW,140.80 mA
4.20 V,590.00 mW,140.30 mA
4.19 V,590.00 mW,140.50 mA
4.20 V,586.00 mW,140.20 mA
4.19 V,590.00 mW,139.80 mA
4.20 V,590.00 mW,140.00 mA
4.19 V,586.00 mW,140.20 mA
4.19 V,586.00 mW,140.00 mA
4.20 V,590.00 mW,140.60 mA
4.20 V,590.00 mW,140.30 mA
4.20 V,590.00 mW,140.40 mA
4.19 V,594.00 mW,140.00 mA
4.20 V,590.00 mW,140.30 mA
4.20 V,590.00 mW,139.90 mA
4.20 V,590.00 mW,140.90 mA
4.19 V,590.00 mW,139.80 mA
4.20 V,590.00 mW,139.90 mA
4.19 V,586.00 mW,140.20 mA
4.19 V,586.00 mW,140.50 mA
4.20 V,590.00 mW,140.10 mA
4.20 V,590.00 mW,140.20 mA
4.20 V,590.00 mW,140.30 mA
4.19 V,590.00 mW,140.40 mA
4.19 V,590.00 mW,140.20 mA
4.19 V,586.00 mW,139.90 mA
4.20 V,586.00 mW,140.00 mA
4.20 V,586.00 mW,140.20 mA
4.19 V,586.00 mW,140.20 mA
4.20 V,586.00 mW,140.40 mA
4.20 V,590.00 mW,140.40 mA
4.20 V,590.00 mW,140.50 mA
4.19 V,590.00 mW,140.40 mA
4.20 V,590.00 mW,140.20 mA
4.20 V,590.00 mW,140.00 mA
4.19 V,586.00 mW,140.30 mA
4.19 V,590.00 mW,140.20 mA
4.19 V,586.00 mW,140.10 mA
4.20 V,590.00 mW,140.20 mA
4.20 V,590.00 mW,140.60 mA
4.19 V,590.00 mW,140.40 mA
4.20 V,590.00 mW,140.60 mA
4.19 V,590.00 mW,139.80 mA
4.19 V,590.00 mW,140.20 mA
4.19 V,586.00 mW,140.40 mA
4.20 V,590.00 mW,140.10 mA
4.19 V,590.00 mW,140.00 mA
4.19 V,586.00 mW,140.70 mA
4.19 V,586.00 mW,140.40 mA
4.19 V,590.00 mW,140.20 mA
4.20 V,590.00 mW,140.60 mA
4.19 V,586.00 mW,140.70 mA
4.18 V,590.00 mW,141.00 mA
4.19 V,586.00 mW,140.30 mA
4.19 V,586.00 mW,140.10 mA
4.19 V,586.00 mW,140.40 mA
4.19 V,586.00 mW,140.00 mA
4.20 V,586.00 mW,140.30 mA
4.20 V,590.00 mW,140.00 mA
4.20 V,590.00 mW,140.60 mA
4.19 V,590.00 mW,140.50 mA
4.20 V,590.00 mW,140.20 mA
4.20 V,590.00 mW,139.90 mA
4.19 V,586.00 mW,140.00 mA
4.19 V,586.00 mW,140.20 mA
4.20 V,586.00 mW,140.30 mA
4.19 V,590.00 mW,139.90 mA
4.19 V,590.00 mW,140.40 mA
