Bus Voltage,Power,Current
4.81 V,302.00 mW,69.00 mA
4.80 V,340.00 mW,70.40 mA
4.67 V,338.00 mW,115.70 mA
4.49 V,702.00 mW,156.60 mA
4.49 V,702.00 mW,155.60 mA
4.51 V,702.00 mW,155.60 mA
4.49 V,702.00 mW,155.10 mA
4.49 V,698.00 mW,156.10 mA
4.49 V,698.00 mW,155.30 mA
4.49 V,698.00 mW,155.30 mA
4.49 V,704.00 mW,154.90 mA
4.50 V,698.00 mW,156.10 mA
4.49 V,704.00 mW,155.60 mA
4.50 V,698.00 mW,155.50 mA
4.50 V,702.00 mW,155.60 mA
4.80 V,358.00 mW,70.50 mA
4.50 V,704.00 mW,156.30 mA
4.49 V,698.00 mW,155.40 mA
4.49 V,702.00 mW,155.30 mA
4.49 V,694.00 mW,155.50 mA
4.49 V,698.00 mW,155.20 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,704.00 mW,155.80 mA
4.49 V,702.00 mW,156.70 mA
4.49 V,708.00 mW,156.00 mA
4.50 V,698.00 mW,155.40 mA
4.49 V,704.00 mW,155.20 mA
4.49 V,698.00 mW,155.70 mA
4.82 V,340.00 mW,69.90 mA
4.50 V,698.00 mW,155.40 mA
4.49 V,702.00 mW,156.20 mA
4.50 V,698.00 mW,155.70 mA
4.49 V,702.00 mW,157.00 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,702.00 mW,157.10 mA
4.49 V,698.00 mW,156.20 mA
4.49 V,702.00 mW,157.10 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,698.00 mW,157.10 mA
4.79 V,550.00 mW,68.90 mA
4.49 V,698.00 mW,157.10 mA
4.50 V,704.00 mW,156.00 mA
4.50 V,698.00 mW,157.20 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,702.00 mW,156.70 mA
4.50 V,698.00 mW,155.50 mA
4.50 V,698.00 mW,156.70 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,702.00 mW,156.90 mA
4.50 V,702.00 mW,155.60 mA
4.66 V,678.00 mW,107.80 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,702.00 mW,155.60 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,698.00 mW,156.00 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,694.00 mW,155.70 mA
4.49 V,698.00 mW,155.50 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,708.00 mW,156.20 mA
4.50 V,702.00 mW,157.10 mA
4.50 V,704.00 mW,155.80 mA
4.50 V,702.00 mW,156.20 mA
4.54 V,692.00 mW,108.80 mA
4.50 V,698.00 mW,156.30 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,702.00 mW,156.20 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,698.00 mW,156.90 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,702.00 mW,155.20 mA
4.50 V,698.00 mW,155.90 mA
4.50 V,702.00 mW,155.70 mA
4.52 V,698.00 mW,140.90 mA
4.50 V,702.00 mW,155.80 mA
4.50 V,704.00 mW,156.80 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,702.00 mW,155.70 mA
4.51 V,704.00 mW,155.70 mA
4.50 V,702.00 mW,156.00 mA
4.51 V,620.00 mW,155.20 mA
4.50 V,698.00 mW,156.20 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,704.00 mW,155.90 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,146.20 mA
4.50 V,702.00 mW,157.20 mA
4.50 V,704.00 mW,155.70 mA
